EDGE_ID,FROM_NODE_ID,TO_NODE_ID,EDGE_TYPE,WEIGHT,PROPERTIES,BETWEENNESS
1,1,501,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.111498
2,1,502,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.278746
3,1,503,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.111498
4,1,504,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.195122
5,2,505,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.118467
6,2,506,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.059233
7,2,507,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.325784
8,2,508,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.236934
9,2,509,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.148084
10,3,510,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.264808
11,3,511,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.165505
12,3,512,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.364111
13,3,513,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.198606
14,3,514,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.264808
15,3,515,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.132404
16,4,516,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.156794
17,4,517,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.235192
18,5,518,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.170732
19,6,519,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.170732
20,7,520,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.181185
21,9,521,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.167247
22,9,522,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.139373
23,9,523,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.250871
24,10,524,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.182927
25,10,525,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.287456
26,11,526,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.097561
27,12,527,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.073171
28,13,528,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.222997
29,13,529,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.083624
30,13,530,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.195122
31,13,531,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.167247
32,14,532,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.121951
33,15,533,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.182927
34,15,534,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.130662
35,16,535,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.121951
36,17,536,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.111498
37,17,537,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.083624
38,17,538,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.195122
39,17,539,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.195122
40,18,540,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.243902
41,18,541,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.146341
42,19,542,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.156794
43,19,543,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.261324
44,20,544,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.135889
45,20,545,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.135889
46,21,546,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.146341
47,22,547,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.195122
48,22,548,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.146341
49,23,549,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.219512
50,24,550,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.10453
51,24,551,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.209059
52,24,552,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.278746
53,24,553,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.278746
54,24,554,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.10453
55,24,555,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.278746
56,24,556,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.174216
57,25,557,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.10453
58,25,558,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.156794
59,25,559,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.209059
60,26,560,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.156794
61,26,561,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.078397
62,27,562,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.167247
63,27,563,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.195122
64,27,564,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.195122
65,28,565,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.08885
66,28,566,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.266551
67,28,567,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.1777
68,28,568,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.236934
69,29,569,HAS_SITE,1.0,"{
  ""is_primary"": true
}",0.078397
70,29,570,HAS_SITE,1.0,"{
  ""is_primary"": false
}",0.078397
