CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_CODE,COUNTRY_ID,CUSTOMER_TIER,IS_SYNTHETIC
1,HELIOS MOBILITY,CUST-0001,3,GOLD,True
2,AQUILA ENERGY,CUST-0002,7,GOLD,True
3,NOVA HOME SYSTEMS,CUST-0003,17,PLATINUM,True
4,TITAN AEROSPACE,CUST-0004,11,BRONZE,True
5,PHOENIX AUTOMOTIVE,CUST-0005,8,PLATINUM,True
6,AURORA MEDICAL,CUST-0006,3,PLATINUM,True
7,MERIDIAN DEFENSE,CUST-0007,12,SILVER,True
8,CATALYST ROBOTICS,CUST-0008,22,SILVER,True
9,PINNACLE TELECOM,CUST-0009,19,PLATINUM,True
10,HORIZON RAIL,CUST-0010,17,PLATINUM,True
11,SYNERGY MARINE,CUST-0011,22,BRONZE,True
12,GRANITE CONSTRUCTION,CUST-0012,11,SILVER,True
13,SAPPHIRE LOGISTICS,CUST-0013,8,BRONZE,True
14,EMERALD RETAIL,CUST-0014,21,BRONZE,True
15,DIAMOND MINING,CUST-0015,21,PLATINUM,True
16,CRIMSON PHARMA,CUST-0016,13,SILVER,True
17,INDIGO TEXTILES,CUST-0017,18,SILVER,True
18,AMBER AGRICULTURE,CUST-0018,10,PLATINUM,True
19,JADE ELECTRONICS,CUST-0019,7,GOLD,True
20,RUBY POWER,CUST-0020,19,PLATINUM,True
21,Customer-0021,CUST-0021,6,GOLD,True
22,Customer-0022,CUST-0022,4,SILVER,True
23,Customer-0023,CUST-0023,6,BRONZE,True
24,Customer-0024,CUST-0024,4,GOLD,True
25,Customer-0025,CUST-0025,11,PLATINUM,True
26,Customer-0026,CUST-0026,8,BRONZE,True
27,Customer-0027,CUST-0027,24,SILVER,True
28,Customer-0028,CUST-0028,24,PLATINUM,True
29,Customer-0029,CUST-0029,2,SILVER,True
30,Customer-0030,CUST-0030,19,PLATINUM,True
31,Customer-0031,CUST-0031,17,BRONZE,True
32,Customer-0032,CUST-0032,8,GOLD,True
33,Customer-0033,CUST-0033,16,PLATINUM,True
34,Customer-0034,CUST-0034,22,GOLD,True
35,Customer-0035,CUST-0035,11,PLATINUM,True
36,Customer-0036,CUST-0036,8,PLATINUM,True
37,Customer-0037,CUST-0037,17,PLATINUM,True
38,Customer-0038,CUST-0038,8,SILVER,True
39,Customer-0039,CUST-0039,20,PLATINUM,True
40,Customer-0040,CUST-0040,19,PLATINUM,True
41,Customer-0041,CUST-0041,2,BRONZE,True
42,Customer-0042,CUST-0042,17,PLATINUM,True
43,Customer-0043,CUST-0043,19,PLATINUM,True
44,Customer-0044,CUST-0044,2,BRONZE,True
45,Customer-0045,CUST-0045,1,BRONZE,True
46,Customer-0046,CUST-0046,19,GOLD,True
47,Customer-0047,CUST-0047,10,BRONZE,True
48,Customer-0048,CUST-0048,7,SILVER,True
49,Customer-0049,CUST-0049,13,GOLD,True
50,Customer-0050,CUST-0050,6,BRONZE,True
51,Customer-0051,CUST-0051,19,BRONZE,True
52,Customer-0052,CUST-0052,14,SILVER,True
53,Customer-0053,CUST-0053,1,GOLD,True
54,Customer-0054,CUST-0054,23,GOLD,True
55,Customer-0055,CUST-0055,23,SILVER,True
56,Customer-0056,CUST-0056,15,BRONZE,True
57,Customer-0057,CUST-0057,17,PLATINUM,True
58,Customer-0058,CUST-0058,16,PLATINUM,True
59,Customer-0059,CUST-0059,4,GOLD,True
60,Customer-0060,CUST-0060,10,BRONZE,True
61,Customer-0061,CUST-0061,9,GOLD,True
62,Customer-0062,CUST-0062,19,GOLD,True
63,Customer-0063,CUST-0063,7,GOLD,True
64,Customer-0064,CUST-0064,15,GOLD,True
65,Customer-0065,CUST-0065,3,GOLD,True
66,Customer-0066,CUST-0066,22,BRONZE,True
67,Customer-0067,CUST-0067,24,BRONZE,True
68,Customer-0068,CUST-0068,9,SILVER,True
69,Customer-0069,CUST-0069,7,SILVER,True
70,Customer-0070,CUST-0070,13,PLATINUM,True
71,Customer-0071,CUST-0071,4,GOLD,True
72,Customer-0072,CUST-0072,11,PLATINUM,True
73,Customer-0073,CUST-0073,12,GOLD,True
74,Customer-0074,CUST-0074,9,PLATINUM,True
75,Customer-0075,CUST-0075,15,SILVER,True
76,Customer-0076,CUST-0076,18,GOLD,True
77,Customer-0077,CUST-0077,19,SILVER,True
78,Customer-0078,CUST-0078,1,SILVER,True
79,Customer-0079,CUST-0079,20,GOLD,True
80,Customer-0080,CUST-0080,20,GOLD,True
