PRODUCT_ID,PRODUCT_NAME,PRODUCT_FAMILY_ID,UNIT_PRICE_USD,IS_SYNTHETIC
1,PROD-0001,1,799.94,True
2,PROD-0002,2,1769.42,True
3,PROD-0003,3,59.84,True
4,PROD-0004,4,1930.58,True
5,PROD-0005,5,216.39,True
6,PROD-0006,6,285.14,True
7,PROD-0007,7,921.07,True
8,PROD-0008,8,1523.89,True
9,PROD-0009,9,972.34,True
10,PROD-0010,10,793.52,True
11,PROD-0011,11,1348.93,True
12,PROD-0012,12,766.98,True
13,PROD-0013,13,1800.23,True
14,PROD-0014,14,1120.60,True
15,PROD-0015,15,1846.60,True
16,PROD-0016,16,1969.40,True
17,PROD-0017,17,341.45,True
18,PROD-0018,18,159.53,True
19,PROD-0019,19,1562.70,True
20,PROD-0020,20,1699.70,True
21,PROD-0021,21,1394.13,True
22,PROD-0022,22,1412.27,True
23,PROD-0023,23,193.65,True
24,PROD-0024,24,924.83,True
25,PROD-0025,25,863.62,True
26,PROD-0026,26,573.91,True
27,PROD-0027,27,74.39,True
28,PROD-0028,28,663.43,True
29,PROD-0029,29,1470.09,True
30,PROD-0030,30,1864.02,True
31,PROD-0031,31,1730.16,True
32,PROD-0032,32,1177.59,True
33,PROD-0033,33,950.15,True
34,PROD-0034,34,1897.57,True
35,PROD-0035,35,986.02,True
36,PROD-0036,36,654.71,True
37,PROD-0037,37,1362.64,True
38,PROD-0038,38,109.59,True
39,PROD-0039,39,484.19,True
40,PROD-0040,40,1050.34,True
41,PROD-0041,41,935.05,True
42,PROD-0042,42,1832.16,True
43,PROD-0043,43,378.26,True
44,PROD-0044,44,751.77,True
45,PROD-0045,45,1592.96,True
46,PROD-0046,46,129.70,True
47,PROD-0047,47,1016.17,True
48,PROD-0048,48,573.34,True
49,PROD-0049,49,68.44,True
50,PROD-0050,50,395.57,True
51,PROD-0051,51,1844.26,True
52,PROD-0052,52,847.09,True
53,PROD-0053,53,1274.00,True
54,PROD-0054,54,395.18,True
55,PROD-0055,55,1592.06,True
56,PROD-0056,56,918.06,True
57,PROD-0057,57,1394.80,True
58,PROD-0058,58,706.07,True
59,PROD-0059,59,1445.39,True
60,PROD-0060,60,1822.89,True
61,PROD-0061,1,961.36,True
62,PROD-0062,2,2002.74,True
63,PROD-0063,3,1586.30,True
64,PROD-0064,4,1726.62,True
65,PROD-0065,5,902.18,True
66,PROD-0066,6,1201.33,True
67,PROD-0067,7,1001.43,True
68,PROD-0068,8,763.20,True
69,PROD-0069,9,835.82,True
70,PROD-0070,10,1943.48,True
71,PROD-0071,11,545.63,True
72,PROD-0072,12,1692.50,True
73,PROD-0073,13,1321.39,True
74,PROD-0074,14,1029.84,True
75,PROD-0075,15,1325.66,True
76,PROD-0076,16,1967.05,True
77,PROD-0077,17,801.54,True
78,PROD-0078,18,676.16,True
79,PROD-0079,19,1818.83,True
80,PROD-0080,20,307.23,True
81,PROD-0081,21,856.16,True
82,PROD-0082,22,978.16,True
83,PROD-0083,23,1888.22,True
84,PROD-0084,24,1978.48,True
85,PROD-0085,25,1041.10,True
86,PROD-0086,26,1572.32,True
87,PROD-0087,27,1231.14,True
88,PROD-0088,28,1814.69,True
89,PROD-0089,29,555.87,True
90,PROD-0090,30,919.16,True
91,PROD-0091,31,334.62,True
92,PROD-0092,32,1234.97,True
93,PROD-0093,33,579.85,True
94,PROD-0094,34,1383.16,True
95,PROD-0095,35,304.30,True
96,PROD-0096,36,671.35,True
97,PROD-0097,37,1920.23,True
98,PROD-0098,38,391.62,True
99,PROD-0099,39,319.58,True
100,PROD-0100,40,1412.09,True
101,PROD-0101,41,1149.84,True
102,PROD-0102,42,313.42,True
103,PROD-0103,43,926.26,True
104,PROD-0104,44,2038.06,True
105,PROD-0105,45,1173.01,True
106,PROD-0106,46,1947.06,True
107,PROD-0107,47,51.47,True
108,PROD-0108,48,1914.60,True
109,PROD-0109,49,554.89,True
110,PROD-0110,50,774.22,True
111,PROD-0111,51,1761.96,True
112,PROD-0112,52,1754.11,True
113,PROD-0113,53,1908.80,True
114,PROD-0114,54,370.25,True
115,PROD-0115,55,602.39,True
116,PROD-0116,56,1453.99,True
117,PROD-0117,57,731.68,True
118,PROD-0118,58,1070.13,True
119,PROD-0119,59,638.21,True
120,PROD-0120,60,1706.58,True
121,PROD-0121,1,1851.15,True
122,PROD-0122,2,1120.55,True
123,PROD-0123,3,1767.73,True
124,PROD-0124,4,1267.98,True
125,PROD-0125,5,1560.47,True
126,PROD-0126,6,1947.82,True
127,PROD-0127,7,367.73,True
128,PROD-0128,8,1722.93,True
129,PROD-0129,9,631.50,True
130,PROD-0130,10,331.79,True
131,PROD-0131,11,1554.79,True
132,PROD-0132,12,513.72,True
133,PROD-0133,13,1672.37,True
134,PROD-0134,14,1168.95,True
135,PROD-0135,15,420.75,True
136,PROD-0136,16,1843.84,True
137,PROD-0137,17,1760.26,True
138,PROD-0138,18,945.92,True
139,PROD-0139,19,226.11,True
140,PROD-0140,20,1032.58,True
141,PROD-0141,21,1575.25,True
142,PROD-0142,22,948.61,True
143,PROD-0143,23,80.95,True
144,PROD-0144,24,744.37,True
145,PROD-0145,25,1692.37,True
146,PROD-0146,26,829.22,True
147,PROD-0147,27,157.06,True
148,PROD-0148,28,1197.46,True
149,PROD-0149,29,741.66,True
150,PROD-0150,30,72.82,True
151,PROD-0151,31,975.53,True
152,PROD-0152,32,1935.44,True
153,PROD-0153,33,62.67,True
154,PROD-0154,34,187.42,True
155,PROD-0155,35,1614.95,True
156,PROD-0156,36,73.14,True
157,PROD-0157,37,696.35,True
158,PROD-0158,38,702.10,True
159,PROD-0159,39,139.38,True
160,PROD-0160,40,427.72,True
161,PROD-0161,41,483.24,True
162,PROD-0162,42,1526.20,True
163,PROD-0163,43,919.89,True
164,PROD-0164,44,681.82,True
165,PROD-0165,45,156.61,True
166,PROD-0166,46,1088.04,True
167,PROD-0167,47,1662.00,True
168,PROD-0168,48,1631.79,True
169,PROD-0169,49,1304.57,True
170,PROD-0170,50,1327.31,True
171,PROD-0171,51,663.62,True
172,PROD-0172,52,1235.98,True
173,PROD-0173,53,245.24,True
174,PROD-0174,54,913.53,True
175,PROD-0175,55,315.05,True
176,PROD-0176,56,969.64,True
177,PROD-0177,57,1249.31,True
178,PROD-0178,58,875.44,True
179,PROD-0179,59,1733.59,True
180,PROD-0180,60,1778.91,True
181,PROD-0181,1,654.45,True
182,PROD-0182,2,849.74,True
183,PROD-0183,3,1926.59,True
184,PROD-0184,4,485.91,True
185,PROD-0185,5,568.89,True
186,PROD-0186,6,1039.49,True
187,PROD-0187,7,1525.45,True
188,PROD-0188,8,1878.91,True
189,PROD-0189,9,1595.23,True
190,PROD-0190,10,689.44,True
191,PROD-0191,11,514.38,True
192,PROD-0192,12,1443.58,True
193,PROD-0193,13,1708.10,True
194,PROD-0194,14,887.00,True
195,PROD-0195,15,1084.32,True
196,PROD-0196,16,807.78,True
197,PROD-0197,17,287.98,True
198,PROD-0198,18,1000.37,True
199,PROD-0199,19,1482.89,True
200,PROD-0200,20,1746.01,True
